iter	RMSE
0	0.222097103
1	0.2179819421
2	0.2138530341
3	0.2071746517
4	0.2016672754
5	0.1965615205
6	0.1937470877
7	0.1902512349
8	0.1883112685
9	0.1824577229
10	0.1792304151
11	0.1761623483
12	0.1689771539
13	0.166179562
14	0.1632538348
15	0.1586034696
16	0.1546441802
17	0.150496652
18	0.1472117635
19	0.1407923559
20	0.1375979689
21	0.1358959674
22	0.1335689745
23	0.131477287
24	0.1283353698
25	0.1256419388
26	0.1230741758
27	0.1194650996
28	0.1164096682
29	0.1142876513
30	0.1121130349
31	0.1088656885
32	0.1068819405
33	0.1044252243
34	0.1001984272
35	0.09779020891
36	0.09525378047
37	0.09230991037
38	0.08989847514
39	0.08696026983
40	0.0830314724
41	0.08142486659
42	0.07829811468
43	0.07510248989
44	0.07142769239
45	0.06878900994
46	0.06653531235
47	0.06382461192
48	0.06134863513
49	0.0590252396
