iter	Passed	Remaining
0	172	8452
1	173	4164
2	174	2731
3	175	2014
4	176	1590
5	177	1302
6	178	1098
7	180	945
8	180	823
9	181	726
10	182	646
11	183	580
12	184	524
13	185	478
14	187	436
15	188	399
16	188	366
17	189	337
18	190	310
19	191	286
20	192	265
21	193	246
22	195	228
23	225	244
24	226	226
25	227	210
26	229	195
27	230	181
28	232	168
29	233	155
30	234	143
31	235	132
32	236	121
33	237	111
34	238	102
35	240	93
36	243	85
37	244	77
38	245	69
39	246	61
40	247	54
41	249	47
42	250	40
43	251	34
44	252	28
45	252	21
46	258	16
47	264	11
48	266	5
49	290	0
