iter	RMSE
0	0.2217292289
1	0.2158594357
2	0.2111981263
3	0.206334089
4	0.2006552488
5	0.1976095429
6	0.1939945096
7	0.1878286756
8	0.1851944973
9	0.1806119514
10	0.1753053637
11	0.1724677106
12	0.1692200973
13	0.1658833936
14	0.1627610441
15	0.1597143163
16	0.1551114508
17	0.1524506063
18	0.1496297495
19	0.1468833168
20	0.1446973612
21	0.140680577
22	0.1391780465
23	0.1341199831
24	0.1271559823
25	0.124218344
26	0.1213112166
27	0.1170530883
28	0.1136298938
29	0.1106741432
30	0.1082257752
31	0.1056905054
32	0.1036948763
33	0.09970115101
34	0.09731856665
35	0.0939264593
36	0.09163971644
37	0.08753215505
38	0.08341259573
39	0.07930908879
40	0.07626235518
41	0.07327187425
42	0.07196311879
43	0.07104536124
44	0.06958764555
45	0.06629232396
46	0.06426151681
47	0.06158814239
48	0.05928690058
49	0.05669842899
